iteration,x1,x2,residual_1,residual_2,residual_norm,step_norm
0,1.0,1.0,-0.1585290151921035,-1.0,1.0124877523495177,1.0124877523495177
1,1.1585290151921035,2.0,2.9162146947152507,-1.6578105209580147,3.354496067827811,345.919770402293
2,73.89870852291928,340.1853838360829,115723.09791512968,5119.8337375193,115836.29866572279,346.37959813677986
3,1.1825850524691077,1.524504204514983,1.2497007022165416,-1.1259967981916208,1.6821476257030175,0.31277393359017763
4,1.1989171050400633,1.212156965704885,0.4009706536816542,-0.7747547409472386,0.8723659631909741,0.6269329170412453
5,1.232679933863833,0.5861338400460465,-0.7130659701865982,-0.06663402069550273,0.716172584334393,0.022168697298251595
6,1.2344683545281614,0.5640373993501129,-0.7378889314516961,-0.04012528101864654,0.7389791020967719,0.01538408925700757
7,1.2334138348965964,0.5793853044388936,-0.7206883288717905,-0.05807561632456515,0.7230245117445826,0.006798524631927391
8,1.233980559504513,0.572610442049907,-0.7283054968645681,-0.04990242081483598,0.7300131152015876,0.00848397656528274
9,1.2332473686652368,0.5810626778223797,-0.7187969407539034,-0.06016360550264932,0.7213104057645703,0.0016507879550441617
10,1.2330734655196944,0.5827042802616108,-0.7169441047814822,-0.06223410889286185,0.7196401418004762,0.009825943492005912
11,1.2318109992403923,0.5924487835532988,-0.7059118785438963,-0.07509044570368517,0.7098944677241475,0.010933332306959594
12,1.2299012067380595,0.60321402613916,-0.6936770617719563,-0.0905570478034251,0.6995630385715402,0.019372752612954944
13,1.2249923855647658,0.6219545442347564,-0.6723692866413016,-0.12134819954310061,0.6832319102258654,0.027930663272047643
14,1.213802622574919,0.6475457762302576,-0.6437328342904183,-0.17422896966050627,0.6668940664097536,0.04661918209824588
15,1.183701842877496,0.6831448099406915,-0.6073033708428206,-0.28199475710911137,0.6695807847258456,0.10287679503978621
16,1.0913077755221277,0.7283882765982085,-0.5822195353836865,-0.537435615683154,0.7923488047489734,0.4398671387908399
17,0.6575072946109726,0.8011910413073221,-0.7469471840332496,-1.3688751988406818,1.5594067480091003,38.63124407625381
18,-37.18482304468459,8.568497741233982,71.91106931247344,1373.142567123272,1375.02425852621,39.26743816282246
19,1.2972999937320537,0.754541871941635,-0.4678341378897981,-0.07155459820444832,0.47327459376063136,0.4674336447462335
20,1.7632460751717394,0.7172798076972879,-0.5039710452945232,1.3917569139112551,1.48019394739846,1.7313681164168995
21,0.03868035491131927,0.870605053653917,-1.2033761303162491,-1.8691088837978516,2.222989458028751,4.58188516256978
22,4.600356115684138,0.4407377525541212,-2.7994811133708786,19.722538638558333,19.920231546183057,5.709103981187264
23,-1.080807207756786,1.0048756438519262,-1.8725629198134195,-0.8367314235129057,2.0510025265108993,3.0975074458680294
24,-4.15781665411553,1.360635737492202,0.7014553324856068,14.92680359174826,14.943276248871975,0.9929452477201978
25,-5.150037009041423,1.3227011590595943,0.6552893134522026,24.20018003543673,24.209050328996284,20.52651909679994
26,15.374689269471698,1.5939896096165307,0.8679415029012825,233.78708052319166,233.78869164698654,16.7625112197469
27,-1.383724532531712,1.2233830352518082,-1.4858869910446966,-0.3086894533217033,1.5176130365636407,8.63110512276815
28,-10.012657573131849,1.4170069519404478,0.5625065590258549,97.8363047248541,97.83792176780666,2006.7287700626466
29,1996.2761869999015,-40.5999984023818,1645.3810019653772,3985158.214781268,3985158.5544514116,2006.9289333240029
30,-10.212847319157163,1.4178379340053269,0.7192574834344851,101.88441243041032,101.88695121367323,0.24706156152595027
31,-10.459907539498905,1.4186520030014471,0.8725020081757888,106.9910137318646,106.99457126007051,0.92519820535747
32,-9.534713010216935,1.416043903425837,0.11489407903747884,88.49470828377426,88.49478286814258,0.19005439938859972
33,-9.724764491223223,1.417097133827077,0.3036716253865128,92.15394727592899,92.15444761372488,0.2641111831764059
34,-9.988860058925157,1.419969101625291,0.5509525907010242,97.35735617516501,97.35891510372915,0.8352628056706747
35,-10.824006924782465,1.4338855302463287,1.0413461001442812,114.72524037749241,114.72996636177359,4.8851689615200335
36,-15.708231415387685,1.5299423257940852,0.34099166769171996,244.2185918735785,244.21882992928892,6.923924596695456
37,-8.785543468487596,1.3990858755573805,-0.6391399687659169,74.78668816112769,74.7894192116066,5.933223113846222
38,-2.853497635934449,1.2808963702368845,-0.6434307584040433,5.861552388046604,5.8967617841214555,3.1595735877544646
39,0.3053943628410525,1.2152717063692877,-0.2224453660557295,-2.1220059895141956,2.133633370664648,0.9549285418405143
40,1.2601086045014653,1.1950421044840882,0.3802491805581596,-0.6071684093454579,0.7164097407365742,0.6575169250220713
41,0.6027362071322321,1.2088275267665907,0.028162635552129167,-1.8455365913784416,1.845751457850704,0.1341136634524869
42,0.4686483145165027,1.2114565529208043,-0.08069226827561105,-1.9918253102216457,1.9934591314092744,0.05291779730553281
43,0.5215524981723445,1.2102562932079028,-0.03705287856047046,-1.9382392848580894,1.9385934182228142,0.008454761269236192
44,0.5130979001360514,1.2103088304754854,-0.04427395949874735,-1.94703937535146,1.9475426857090194,0.03734150108927486
45,0.5504384156202747,1.210580136525531,-0.011434794296402151,-1.907597687134973,1.9076319588650477,0.027447130619007484
46,0.5778629429920545,1.2116938140602584,0.014437017400873664,-1.87776823317682,1.8778237310779278,0.059315535440866846
47,0.6369117709431148,1.2173124137294655,0.07656505472210151,-1.8116558097635709,1.8132730022406163,0.07600657251194853
48,0.7112806496314749,1.233005372266659,0.17310668012721253,-1.7270852097264862,1.7357388180140023,0.11500903622273871
49,0.8148290182526448,1.2830534868043468,0.3738345669871044,-1.619107157817778,1.6617040265857212,0.2055411804948129
50,0.936605964520904,1.448635950358851,0.9040978081193605,-1.571405217582718,1.812927799029079,0.9593728417490266
51,1.135236636060863,2.387221112083235,4.6054586787504945,-2.0984588922284506,5.061005766055884,45.722608301058706
52,7.860058386490557,47.61258658630566,2265.95838297505,13.167931252734881,2265.9966433753557,44.177491089612666
53,1.1529770775459607,3.947202363926344,14.494382494131749,-3.61784622257992,14.939074107066633,2.5581348936472885
54,1.1608917348065537,6.505325013897661,41.236412385608425,-6.1576553939554906,41.693625728481194,5.535157469980632
55,1.2120479997484903,0.9704039436348175,-0.12197916361290173,-0.5013435899405012,0.5159692932046755,0.37516084099604863
56,1.2277276392550962,0.5955709067746637,-0.7035684344364026,-0.088255750583772,0.7090822374354018,0.04635752122257456
57,1.2329207905593318,0.5495051824947529,-0.7545830356611729,-0.0294115067013051,0.7551560066860833,0.04028171316293242
58,1.228896155051362,0.5895853362415732,-0.7102698501078557,-0.07939957634155215,0.7146940273259976,0.0056970568481760344
59,1.2298706301952864,0.5839722395093564,-0.7165308697070985,-0.07139047249240538,0.7200785282216793,0.03208996336920369
60,1.2222157007077803,0.6151358048313498,-0.6817494749682917,-0.12132458577473937,0.6924608304683764,0.02404165584101016
61,1.21235562051678,0.6370625016688723,-0.6577063842798225,-0.1672563510702455,0.6786400923138647,0.056054580344406316
62,1.174992787256301,0.6788492779065429,-0.616476600062108,-0.29824122780221174,0.6848293425263751,0.11777497817711677
63,1.0668569387049838,0.725513865579712,-0.5979425168289865,-0.5873301379167424,0.8381479250926309,0.6146587385416715
64,0.45880440301523207,0.8153886601936755,-0.8922648605722956,-1.604887179967512,1.8362460188755132,0.9487565071090063
65,1.4000450777098559,0.934572979976485,-0.14111595438107916,0.025553239643111292,0.14341088046986217,0.1145764741929149
66,1.3495615393162335,1.0374281246691028,0.051884352072096185,-0.21611177626750133,0.22225275213467163,0.08131568314460509
67,1.409505399608094,0.9824829343556303,-0.04770649107503533,0.004222537168742324,0.047892996469565734,0.014842970411272277
68,1.4111077859309398,0.9972391577445012,-0.018237205659101363,-0.006013974229582386,0.019203217342061197,0.01826469220206332
69,1.40881648204105,0.9791187574255158,-0.05441653545021752,0.005645122645004497,0.0547085618535337,0.005128267373465082
70,1.4078146395624471,0.9740893004069289,-0.06440217626425837,0.007852758959413952,0.06487916561460436,0.3340318164648559
71,1.3380990016755305,0.6474136443735606,-0.6078076488121467,0.1430952939114909,0.6244248562430598,0.18773448647389954
72,1.3758235824611942,0.831318765063999,-0.3278561604312704,0.06157176499235528,0.3335876858893457,0.09761085551467101
73,1.351991311688985,0.7366620062765459,-0.4811715549223283,0.09121850060595627,0.4897416462985051,0.3159319478737051
74,1.429685238942197,1.0428917392471477,0.07768352015607993,0.0011081432020592086,0.07769142349832668,0.09482257039986597
75,1.4035797498889093,0.9517335070433242,-0.10815147709100348,0.01830260725488908,0.10968923114550748,0.04004758627484624
76,1.4133870694359973,0.9905616624172607,-0.031150870670836994,0.0071013456316162404,0.03195005247774857,0.007790125529433262
77,1.4148858045379977,0.998206258473192,-0.01571371082355233,0.0036955814099450812,0.016142429488889127,0.008350497784110853
78,1.4163933356334164,1.0064195503369204,0.0009838322795934218,-0.0002494691101644353,0.001014968369603814,0.000515531515754768
79,1.4163071337371842,1.0059112768113239,-5.224288435812241e-05,1.4620263514508736e-05,5.42500789980054e-05,2.7467653521408945e-05
80,1.4163112310274124,1.0059384371537878,3.030106721979564e-06,-9.3401940359783e-07,3.17079469421831e-06,1.5818980952045945e-06
81,1.4163110240422134,1.0059368688557577,-1.5696246991048213e-07,4.79677453313343e-08,1.6412836912785903e-07,8.155396618734137e-08
82,1.4163110348543029,1.0059369496898354,7.329167495129241e-09,-2.239769258949309e-09,7.66376294681623e-09,3.808037649690321e-09
83,1.4163110343494403,1.005936945915413,-3.421782857060407e-10,1.0456813193115977e-10,3.5779948773621413e-10,1.7778621269195462e-10
84,1.416311034373011,1.0059369460916299,1.5974777056726452e-11,-4.881650639276813e-12,1.6704011942526428e-11,8.299886467923786e-12
